iter	Passed	Remaining
0	128	128364
1	129	64684
2	130	43472
3	131	32837
4	132	26443
5	134	22221
6	135	19206
7	136	16914
8	137	15126
9	138	13719
10	139	12549
11	140	11570
12	141	10748
13	143	10099
14	144	9491
15	145	8957
16	146	8478
17	147	8052
18	148	7677
19	149	7330
20	150	7019
21	151	6735
22	152	6477
23	153	6247
24	155	6055
25	156	5875
26	157	5691
27	158	5519
28	159	5353
29	160	5199
30	161	5056
31	162	4929
32	163	4804
33	164	4686
34	165	4573
35	167	4479
36	169	4403
37	170	4309
38	171	4218
39	172	4133
40	173	4052
41	174	3974
42	175	3897
43	176	3824
44	177	3758
45	178	3692
46	179	3635
47	180	3588
48	182	3534
49	183	3480
50	184	3425
51	185	3373
52	186	3326
53	187	3278
54	188	3230
55	188	3184
56	189	3141
57	190	3098
58	192	3064
59	193	3033
60	194	2997
61	195	2961
62	196	2924
63	197	2889
64	198	2854
65	199	2824
66	200	2792
67	201	2755
68	201	2725
69	202	2694
70	203	2666
71	205	2642
72	206	2622
73	207	2595
74	208	2569
75	209	2543
76	210	2519
77	211	2496
78	212	2473
79	213	2449
80	213	2427
81	215	2408
82	216	2388
83	217	2370
84	218	2350
85	219	2331
86	220	2310
87	221	2292
88	222	2273
89	223	2255
90	224	2238
91	224	2220
92	225	2203
93	226	2186
94	227	2171
95	228	2155
96	230	2143
97	231	2129
98	232	2116
99	233	2101
100	234	2087
101	235	2068
102	235	2054
103	236	2041
104	237	2028
105	238	2014
106	239	2001
107	240	1988
108	242	1980
109	243	1969
110	244	1957
111	245	1945
112	246	1933
113	247	1921
114	248	1910
115	248	1897
116	249	1885
117	250	1874
118	251	1861
119	252	1852
120	253	1842
121	254	1833
122	255	1821
123	256	1811
124	257	1802
125	258	1793
126	259	1783
127	260	1771
128	260	1761
129	261	1753
130	262	1744
131	263	1735
132	264	1726
133	265	1718
134	268	1719
135	269	1712
136	270	1705
137	271	1697
138	272	1690
139	273	1682
140	274	1674
141	275	1665
142	276	1657
143	277	1649
144	278	1643
145	280	1638
146	281	1631
147	282	1625
148	283	1618
149	284	1610
150	285	1603
151	286	1595
152	287	1590
153	288	1582
154	288	1575
155	289	1568
156	290	1561
157	292	1557
158	293	1551
159	294	1544
160	295	1538
161	296	1533
162	297	1527
163	298	1520
164	299	1514
165	300	1507
166	301	1501
167	301	1494
168	302	1488
169	303	1483
170	305	1480
171	306	1474
172	307	1468
173	308	1462
174	309	1457
175	310	1453
176	311	1447
177	312	1441
178	313	1436
179	314	1430
180	314	1423
181	316	1421
182	317	1418
183	318	1413
184	320	1409
185	320	1404
186	321	1399
187	322	1393
188	323	1389
189	324	1384
190	325	1379
191	326	1374
192	327	1368
193	328	1366
194	331	1367
195	332	1363
196	333	1359
197	334	1355
198	335	1350
199	336	1346
200	337	1342
201	339	1339
202	340	1335
203	341	1330
204	342	1328
205	343	1325
206	344	1321
207	345	1316
208	346	1312
209	347	1308
210	348	1304
211	349	1299
212	350	1295
213	351	1291
214	352	1287
215	353	1283
216	354	1280
217	355	1276
218	357	1273
219	358	1269
220	359	1265
221	359	1261
222	360	1256
223	361	1253
224	362	1249
225	363	1245
226	364	1241
227	365	1237
228	366	1234
229	368	1232
230	369	1229
231	370	1226
232	371	1222
233	372	1219
234	373	1215
235	374	1211
236	375	1207
237	376	1204
238	377	1200
239	378	1197
240	378	1193
241	380	1190
242	381	1188
243	382	1184
244	383	1182
245	384	1178
246	385	1175
247	386	1172
248	387	1168
249	388	1165
250	389	1161
251	390	1158
252	391	1156
253	392	1153
254	393	1150
255	394	1147
256	395	1144
257	396	1141
258	397	1137
259	398	1134
260	399	1131
261	400	1128
262	401	1125
263	402	1122
264	403	1119
265	404	1117
266	406	1115
267	407	1112
268	408	1109
269	409	1105
270	409	1102
271	410	1099
272	411	1096
273	412	1093
274	413	1091
275	414	1087
276	415	1084
277	417	1084
278	418	1082
279	419	1079
280	420	1076
281	421	1074
282	422	1071
283	423	1068
284	424	1065
285	425	1062
286	426	1059
287	427	1057
288	428	1054
289	429	1052
290	432	1053
291	433	1050
292	434	1047
293	435	1045
294	436	1042
295	437	1040
296	438	1037
297	439	1034
298	440	1031
299	441	1029
300	442	1027
301	443	1025
302	444	1023
303	445	1020
304	446	1018
305	447	1015
306	448	1012
307	449	1010
308	450	1007
309	451	1004
310	452	1002
311	453	999
312	454	997
313	455	996
314	457	993
315	457	991
316	458	988
317	459	986
318	460	983
319	461	981
320	462	978
321	463	976
322	464	974
323	465	971
324	466	969
325	467	967
326	468	965
327	469	962
328	471	960
329	471	958
330	472	955
331	473	953
332	474	950
333	475	948
334	476	945
335	477	943
336	478	941
337	479	939
338	480	937
339	481	935
340	482	933
341	483	931
342	484	928
343	485	926
344	486	923
345	487	921
346	488	919
347	489	917
348	490	914
349	491	912
350	492	911
351	494	909
352	495	907
353	496	905
354	497	903
355	498	901
356	499	899
357	500	897
358	501	894
359	502	892
360	503	890
361	504	888
362	505	886
363	506	885
364	508	883
365	509	881
366	510	879
367	511	877
368	512	875
369	512	873
370	513	871
371	514	869
372	515	866
373	516	865
374	517	863
375	519	861
376	520	859
377	521	858
378	522	856
379	523	853
380	524	851
381	525	849
382	526	847
383	527	845
384	528	843
385	529	841
386	530	840
387	532	839
388	533	837
389	534	835
390	535	834
391	536	832
392	537	830
393	538	828
394	539	825
395	540	824
396	541	821
397	542	820
398	543	819
399	545	817
400	546	815
401	546	813
402	547	811
403	548	809
404	549	807
405	550	805
406	551	803
407	552	801
408	553	799
409	555	798
410	556	797
411	557	795
412	558	793
413	559	791
414	560	789
415	561	787
416	561	785
417	562	783
418	563	781
419	564	779
420	565	777
421	566	775
422	567	773
423	569	773
424	570	771
425	571	769
426	571	767
427	572	765
428	573	763
429	574	761
430	575	759
431	576	757
432	576	755
433	577	753
434	578	751
435	579	749
436	580	748
437	582	747
438	583	745
439	584	743
440	585	741
441	586	740
442	587	738
443	588	736
444	588	734
445	589	732
446	590	730
447	591	728
448	592	727
449	593	725
450	594	724
451	595	722
452	596	720
453	597	718
454	598	716
455	599	715
456	600	713
457	601	711
458	602	709
459	603	707
460	603	706
461	605	704
462	606	703
463	607	701
464	608	700
465	609	698
466	610	696
467	611	694
468	612	693
469	613	691
470	614	689
471	615	687
472	615	686
473	617	684
474	618	683
475	619	681
476	620	679
477	620	678
478	621	676
479	622	674
480	623	672
481	624	670
482	625	669
483	625	667
484	626	665
485	627	663
486	628	662
487	629	660
488	630	659
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	649
495	637	647
496	638	645
497	638	644
498	640	642
499	641	641
500	642	639
501	643	638
502	644	636
503	645	635
504	646	633
505	647	631
506	648	630
507	648	628
508	650	627
509	650	625
510	651	623
511	652	621
512	653	620
513	654	619
514	656	617
515	657	616
516	658	614
517	659	613
518	659	611
519	660	610
520	661	608
521	662	606
522	663	605
523	664	603
524	665	602
525	666	600
526	668	600
527	669	598
528	670	597
529	671	595
530	672	594
531	673	592
532	674	591
533	675	589
534	676	588
535	677	586
536	678	585
537	680	584
538	681	583
539	682	581
540	684	580
541	685	578
542	686	577
543	687	575
544	688	574
545	689	573
546	690	571
547	691	570
548	692	568
549	694	568
550	696	567
551	696	565
552	697	564
553	699	562
554	700	561
555	701	559
556	701	558
557	702	556
558	703	555
559	705	554
560	706	552
561	707	551
562	708	550
563	709	548
564	710	547
565	711	545
566	712	544
567	713	542
568	714	541
569	715	539
570	716	538
571	717	536
572	719	536
573	720	534
574	721	533
575	722	531
576	723	530
577	724	528
578	725	527
579	726	526
580	727	524
581	728	523
582	729	521
583	730	520
584	732	519
585	733	518
586	734	516
587	735	515
588	736	513
589	737	512
590	738	511
591	739	509
592	740	508
593	741	506
594	742	505
595	743	504
596	744	502
597	746	501
598	747	500
599	748	498
600	749	497
601	749	495
602	750	494
603	751	492
604	752	491
605	753	490
606	754	488
607	756	487
608	758	486
609	759	485
610	760	484
611	761	482
612	762	481
613	763	480
614	764	478
615	765	477
616	766	475
617	767	474
618	769	473
619	770	472
620	771	471
621	772	469
622	773	468
623	774	466
624	776	465
625	777	464
626	777	462
627	778	461
628	780	460
629	781	458
630	782	457
631	783	456
632	785	455
633	786	453
634	787	452
635	788	451
636	790	450
637	791	448
638	792	447
639	793	446
640	795	445
641	796	444
642	797	442
643	798	441
644	800	440
645	801	439
646	802	437
647	803	436
648	804	435
649	805	433
650	806	432
651	808	431
652	809	430
653	810	429
654	811	427
655	812	426
656	813	424
657	814	423
658	816	422
659	817	420
660	818	419
661	819	418
662	821	417
663	822	416
664	823	414
665	824	413
666	825	412
667	826	410
668	827	409
669	829	408
670	830	406
671	831	405
672	832	404
673	833	403
674	834	401
675	836	400
676	837	399
677	838	398
678	839	396
679	840	395
680	841	394
681	842	392
682	843	391
683	844	389
684	845	388
685	847	387
686	848	386
687	849	385
688	850	383
689	851	382
690	852	381
691	853	380
692	854	378
693	855	377
694	856	376
695	858	375
696	860	373
697	861	372
698	862	371
699	863	370
700	864	368
701	865	367
702	866	366
703	868	364
704	869	363
705	870	362
706	872	361
707	873	360
708	875	359
709	876	357
710	877	356
711	878	355
712	879	354
713	880	352
714	882	351
715	885	351
716	886	349
717	887	348
718	889	347
719	890	346
720	892	345
721	893	344
722	894	342
723	897	341
724	898	340
725	900	339
726	901	338
727	902	337
728	903	335
729	905	334
730	906	333
731	907	332
732	908	331
733	910	329
734	911	328
735	913	327
736	914	326
737	915	325
738	916	323
739	917	322
740	919	321
741	920	320
742	924	319
743	927	319
744	930	318
745	933	317
746	947	321
747	949	319
748	950	318
749	951	317
750	952	315
751	953	314
752	954	313
753	955	311
754	957	310
755	958	309
756	967	310
757	968	309
758	970	308
759	971	306
760	972	305
761	973	304
762	974	302
763	975	301
764	976	299
765	977	298
766	978	297
767	980	296
768	981	294
769	982	293
770	983	292
771	984	290
772	985	289
773	986	288
774	987	286
775	988	285
776	989	284
777	991	282
778	992	281
779	993	280
780	995	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1001	271
787	1002	269
788	1003	268
789	1005	267
790	1006	266
791	1008	264
792	1008	263
793	1009	262
794	1010	260
795	1011	259
796	1012	257
797	1013	256
798	1014	255
799	1016	254
800	1017	252
801	1018	251
802	1019	250
803	1020	248
804	1021	247
805	1022	246
806	1023	244
807	1024	243
808	1026	242
809	1027	240
810	1028	239
811	1029	238
812	1031	237
813	1032	235
814	1033	234
815	1034	233
816	1035	232
817	1036	230
818	1037	229
819	1039	228
820	1040	226
821	1041	225
822	1042	224
823	1044	223
824	1045	221
825	1046	220
826	1047	219
827	1048	217
828	1050	216
829	1051	215
830	1052	214
831	1054	212
832	1055	211
833	1057	210
834	1058	209
835	1059	207
836	1060	206
837	1061	205
838	1062	203
839	1064	202
840	1065	201
841	1066	200
842	1068	198
843	1069	197
844	1071	196
845	1072	195
846	1073	193
847	1074	192
848	1075	191
849	1077	190
850	1078	188
851	1079	187
852	1081	186
853	1082	185
854	1083	183
855	1084	182
856	1086	181
857	1087	179
858	1088	178
859	1089	177
860	1090	176
861	1092	174
862	1093	173
863	1094	172
864	1096	171
865	1097	169
866	1098	168
867	1099	167
868	1100	165
869	1102	164
870	1103	163
871	1104	162
872	1105	160
873	1107	159
874	1108	158
875	1110	157
876	1111	155
877	1112	154
878	1113	153
879	1114	152
880	1115	150
881	1117	149
882	1118	148
883	1120	147
884	1121	145
885	1122	144
886	1124	143
887	1125	141
888	1126	140
889	1127	139
890	1128	138
891	1130	136
892	1132	135
893	1133	134
894	1135	133
895	1136	131
896	1137	130
897	1138	129
898	1139	128
899	1141	126
900	1142	125
901	1143	124
902	1144	122
903	1146	121
904	1147	120
905	1149	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1156	111
912	1158	110
913	1159	109
914	1160	107
915	1162	106
916	1163	105
917	1164	104
918	1165	102
919	1166	101
920	1167	100
921	1169	98
922	1170	97
923	1172	96
924	1173	95
925	1174	93
926	1175	92
927	1177	91
928	1178	90
929	1179	88
930	1180	87
931	1182	86
932	1183	84
933	1184	83
934	1185	82
935	1187	81
936	1188	79
937	1189	78
938	1191	77
939	1192	76
940	1193	74
941	1194	73
942	1196	72
943	1197	71
944	1199	69
945	1200	68
946	1202	67
947	1203	66
948	1204	64
949	1206	63
950	1207	62
951	1209	60
952	1210	59
953	1211	58
954	1212	57
955	1213	55
956	1214	54
957	1216	53
958	1217	52
959	1219	50
960	1221	49
961	1222	48
962	1223	47
963	1224	45
964	1226	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1232	38
970	1233	36
971	1234	35
972	1236	34
973	1237	33
974	1238	31
975	1239	30
976	1240	29
977	1242	27
978	1243	26
979	1244	25
980	1245	24
981	1247	22
